Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 35,72 ;01/01/2017; € 14,33 ; € 14,46 ; € 14,79 ; € 14,16 ;4 886 391;-0,008890182;-0,013353524;;0,005896409;7,90353E-05;-5,24202E-05
 € 37,97 ;01/02/2017; € 15,33 ; € 14,33 ; € 15,60 ; € 14,33 ;6 066 326;0,067177355;;;0,061085618;0,004512797;0,00410357
 € 40,07 ;01/03/2017; € 16,17 ; € 15,36 ; € 16,23 ; € 15,08 ;5 276 836;0,053469659;Trimestre 4;;0,05383155;0,002859004;0,002878355
 € 40,51 ;01/04/2017; € 16,19 ; € 16,27 ; € 17,08 ; € 15,64 ;5 410 513;0,000865319;0,129203293;;0,010920933;7,48777E-07;9,45009E-06
 € 41,93 ;01/05/2017; € 16,37 ; € 16,59 ; € 16,85 ; € 16,23 ;6 011 890;0,01130372;;;0,034452704;0,000127774;0,000389444
 € 40,10 ;01/06/2017; € 15,61 ; € 16,42 ; € 16,97 ; € 15,57 ;6 370 266;-0,047410542;Trimestre 1;Anné 7;-0,044625227;0,002247759;0,002115706
 € 40,18 ;01/07/2017; € 16,61 ; € 15,71 ; € 18,20 ; € 15,39 ;7 088 253;0,062085476;0,026319041;0,125931951;0,001993025;0,003854606;0,000123738
 € 39,89 ;01/08/2017; € 16,35 ; € 16,57 ; € 16,94 ; € 16,17 ;5 332 284;-0,015897428;;;-0,007243693;0,000252728;0,000115156
 € 41,84 ;01/09/2017; € 17,06 ; € 16,56 ; € 17,25 ; € 16,53 ;4 926 539;0,042508645;Trimestre 2;;0,047727154;0,001806985;0,002028817
 € 43,62 ;01/10/2017; € 17,91 ; € 17,14 ; € 18,24 ; € 16,76 ;7 419 916;0,048622674;0,078136287;;0,041662941;0,002364164;0,002025764
